University,Approved Amount,Canton
AO Research Institute - AORI,3435621.0,GR
Allergie- und Asthmaforschung - SIAF,19169965.0,GR
Berner Fachhochschule - BFH,31028695.0,BE
Biotechnologie Institut Thurgau - BITG,2492535.0,TG
Centre de rech. sur l'environnement alpin - CREALP,1567678.0,VS
EPF Lausanne - EPFL,1175315913.92,VD
ETH Zürich - ETHZ,1635596618.25,ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,74619222.37,ZH
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.63,ZH
Eidg. Hochschulinstitut für Berufsbildung - EHB,2086572.0,BE
Eidg. Material und Prüfungsanstalt - EMPA,58574515.92,SG
Ente Ospedaliero Cantonale - EOC,5067172.0,TI
Fachhochschule Kalaidos - FHKD,1090280.0,ZH
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42771914.12,BL
Fachhochschule Ostschweiz - FHO,4437056.0,SG
Facoltà di Teologia di Lugano - FTL,8000.0,TI
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12000.0,TI
Forschungsanstalten Agroscope - AGS,33115719.0,ZH
Forschungsinstitut für Opthalmologie - IRO,3478469.0,VS
Forschungsinstitut für biologischen Landbau - FIBL,7442410.0,AG
Forschungskommission SAGW,100000.0,BE
Franklin University Switzerland - FUS,65956.0,TI
Friedrich Miescher Institute - FMI,40229142.61,BS
HES de Suisse occidentale - HES-SO,34162965.46,JU
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627380.0,JU
Haute école pédagogique du canton de Vaud - HEPL,1430686.0,VD
Haute école pédagogique fribourgeoise - HEPFR,1547498.0,FR
Hochschule Luzern - HSLU,10768116.36,LU
Idiap Research Institute - IDIAP,22183105.2,VS
Inst. Suisse de Spéléologie et Karstologie - ISSKA,624819.0,NE
Inst. de Hautes Etudes Internat. et du Dév - IHEID,38864231.6,GE
Inst. universit. romand de Santé au Travail - IST,6882729.85,VD
Institut Universitaire Kurt Bösch - IUKB,1977340.0,VS
Institut für Kulturforschung Graubünden - IKG,1219681.0,GR
Instituto Ricerche Solari Locarno - IRSOL,951238.0,TI
Interkant. Hochschule für Heilpädagogik ZH - HfH,2839872.0,ZH
Kantonsspital St. Gallen - KSPSG,15034105.0,SG
Paul Scherrer Institut - PSI,115268968.87,AG
Physikal.-Meteorolog. Observatorium Davos - PMOD,12098436.0,GR
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,159317.0,GR
Pädagogische Hochschule Bern - PHBern,1990389.6,BE
Pädagogische Hochschule Graubünden - PHGR,614613.0,GR
Pädagogische Hochschule Luzern - PHLU,1979281.0,LU
Pädagogische Hochschule Nordwestschweiz - PHFHNW,3476142.0,SO
Pädagogische Hochschule Schaffhausen - PHSH,176691.0,SH
Pädagogische Hochschule Schwyz - PHSZ,936551.0,SZ
Pädagogische Hochschule St. Gallen - PHSG,2098387.0,SG
Pädagogische Hochschule Thurgau - PHTG,1526446.0,TG
Pädagogische Hochschule Wallis - PHVS,425498.0,VS
Pädagogische Hochschule Zug - PHZG,495715.0,ZG
Pädagogische Hochschule Zürich - PHZFH,3298346.0,ZH
Robert Walser-Stiftung Bern - RWS,569579.0,BE
SUP della Svizzera italiana - SUPSI,24040082.15,TI
Schweiz. Hochschule für Logopädie Rorschach - SHLR,429600.0,SG
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,4649550.0,ZH
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,34735816.0,BE
Schweizer Paraplegiker Forschung - SPF,1944211.0,LU
Staatsunabh. Theologische Hochschule Basel - STHB,17300.0,BS
Swiss Center for Electronics and Microtech. - CSEM,18068246.0,NE
Swiss Institute of Bioinformatics - SIB,11583219.0,GE
Università della Svizzera italiana - USI,84970554.75,TI
Universität Basel - BS,1352251464.37,BS
Universität Bern - BE,1519373034.69,BE
Universität Luzern - LU,39981678.31,LU
Universität St. Gallen - SG,69194954.45,SG
Universität Zürich - ZH,1826842675.0,ZH
Université de Fribourg - FR,457526170.25,FR
Université de Genève - GE,1838237308.5,GE
Université de Lausanne - LA,1183290756.68,VD
Université de Neuchâtel - NE,383204582.3,NE
Zürcher Fachhochschule (ohne PH) - ZFH,44843453.12,ZH
